organism	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	virus_genus	assigned_name	orientation	locus_structure
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01006146.1	31482	32437	956	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00180	2022528	2023201	674	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL124373	880	1789	910	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01000448.1	1682269	1682937	669	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Sorex_araneus	goldenpath_sorAra2	sorAra2.fa	JH798184	713199	713969	771	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01008779.1	28674	28994	321	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Myotis_davidii	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_18.fa	gi|432095562|gb|KB110895.1|	268140	268877	738	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL082218	8286	8456	171	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00002	31890409	31898607	8199	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Bundibugyo-virus(-)]-L[Reston-ebolavirus(-)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01001587.1	251142	251846	705	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_11.fa	gi|472278433|gb|KB708160.1|	13306618	13307431	814	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Nannospalax_galili	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671652576|ref|NW_008357791.1|	2883	3569	687	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00247	3533521	3534411	891	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Nannospalax_galili	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671661799|ref|NW_008348568.1|	1002820	1003155	336	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Fukomys_damarensis	ncbi_1.0_2014	885580_ref_DMR_v1.0_chrUn.fa	gi|730050000|ref|NW_011048078.1|	6352594	6352953	360	Cuevavirus	Lloviu-cuevavirus	+	nucleoprotein[Lloviu-cuevavirus(+)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01027844.1	2146	2850	705	Cuevavirus	Lloviu-cuevavirus	-	nucleoprotein[Lloviu-cuevavirus(-)]
Nannospalax_galili	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671664246|ref|NW_008346121.1|	1	327	327	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Eptesicus_fuscus	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_9.fa	gi|411115931|gb|JH977632.1|	8636741	8637088	348	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Myotis_brandtii	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549507056|ref|NW_005359196.1|	190201	190875	675	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01000940.1	96836	97758	923	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Eptesicus_fuscus	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_22.fa	gi|411115806|gb|JH977757.1|	906267	908274	2008	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Cavia_porcellus	goldenpath_cavPor3	cavPor3.fa	scaffold_20	30924930	30925226	297	Marburgvirus	Marburg-marburgvirus	+	nucleoprotein[Marburg-marburgvirus(+)]
Myotis_lucifugus	goldenpath_myoLuc2	myoLuc2.fa	GL429801	8786938	8787537	600	Marburgvirus	Marburg-marburgvirus	-	nucleoprotein[Marburg-marburgvirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00005	32968340	32969256	917	Marburgvirus	Marburg-marburgvirus	-	nucleoprotein[Marburg-marburgvirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL104510	3801	7204	3404	Ebolavirus	Bundibugyo-virus	-	nucleoprotein[Marburg-marburgvirus(-)]
Myotis_brandtii	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549486203|ref|NW_005370887.1|	73900	74436	537	Marburgvirus	Marburg-marburgvirus	-	nucleoprotein[Marburg-marburgvirus(-)]
Mus_pahari	REL-1509-EiJ	Pahari_EiJ.chromosomes.unplaced.gt2k.fa	chr10	68765586	68765870	285	Marburgvirus	Marburg-marburgvirus	-	nucleoprotein[Marburg-marburgvirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL103733	32743	32952	210	Marburgvirus	Marburg-marburgvirus	-	nucleoprotein[Marburg-marburgvirus(-)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586829387|ref|NW_006501049.1|	8889128	8889783	656	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Jaculus_jaculus	broad_JacJac1.0	J_jaculus_v0.contigs.fa	contig025683	8164	9018	855	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Monodelphis_domestica	goldenpath_monDom5	chr2.fa	chr2	54444145	54444668	524	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Nannospalax_galili	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671679242|ref|NW_008331125.1|	3581621	3582877	1257	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL128230	15666	15896	231	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL091604	8124	8934	811	Ebolavirus	Reston-ebolavirus	+	nucleoprotein[Reston-ebolavirus(+)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00063	2637669	2638623	955	Ebolavirus	Reston-ebolavirus	-	nucleoprotein[Reston-ebolavirus(-)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01000252.1	1385611	1386117	507	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Nannospalax_galili	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671671484|ref|NW_008338883.1|	1918853	1919254	402	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Myotis_lucifugus	goldenpath_myoLuc2	myoLuc2.fa	GL430432	260875	261857	983	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01096522.1	689346	690600	1255	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL112654	5672	6457	786	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01045091.1	41784	42080	297	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517241|ref|NW_003614308.1|	49065	49728	664	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00053	1846740	1847845	1106	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL064893	26005	26382	378	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00268	1453656	1454915	1260	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Myotis_davidii	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_3.fa	gi|432115810|gb|KB100900.1|	2645882	2646670	789	Ebolavirus	Sudan-ebolavirus	+	nucleoprotein[Sudan-ebolavirus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chrLG5.fa	gi|428755073|gb|CM001694.1|	22393838	22396340	2503	Unclassified	Myotis-endogenous-filo-like	+	nucleoprotein[Sudan-ebolavirus(+)]-VP35[Myotis-endogenous-filo-like(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE378951	1245741	1246425	685	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00043	10976892	10977996	1105	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Myotis_brandtii	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549503425|ref|NW_005362797.1|	655538	656777	1240	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL068167	20887	21294	408	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01028664.1	13162	13461	300	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Heterocephalus_glaber	goldenpath_hetGla2	hetGla2.fa_1.fa	JH602047	14192337	14192723	387	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Myotis_davidii	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_17.fa	gi|432095944|gb|KB110667.1|	572408	573355	948	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01028967.1	8521	9497	977	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL171431	6	907	902	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Myotis_lucifugus	goldenpath_myoLuc2	myoLuc2.fa	GL429779	9623578	9624518	941	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01006326.1	51650	52246	597	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL116946	10911	11556	646	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586829284|ref|NW_006501152.1|	4585405	4585941	537	Ebolavirus	Sudan-ebolavirus	-	nucleoprotein[Sudan-ebolavirus(-)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01011337.1	14962	15621	660	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_8.fa	gi|472278448|gb|KB708145.1|	16800563	16801516	954	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chr5.fa	gi|428755264|gb|CM001675.1|	48412294	48413251	958	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586829367|ref|NW_006501069.1|	4192105	4192641	537	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	ABQO010766573	360	1038	679	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Chinchilla_lanigera	broad_v0_2012	C_lanigera_v0.assembly.fasta_13.fa	scaffold00037	10830761	10831081	321	Ebolavirus	Tai-Forest-ebolavirus	+	nucleoprotein[Tai-Forest-ebolavirus(+)]
Mus_musculus	goldenpath_mm10	chr9.fa	chr9	73977360	73977656	297	Ebolavirus	Tai-Forest-ebolavirus	-	nucleoprotein[Tai-Forest-ebolavirus(-)]
Phodopus_sungorus	Psun0.5	GCA_001707965.1_Psun0.5_genomic.fna	MCBN011377448.1	2126	3158	1033	Ebolavirus	Tai-Forest-ebolavirus	-	nucleoprotein[Tai-Forest-ebolavirus(-)]
Mus_spretus	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	CM004102.1	73746386	73746676	291	Ebolavirus	Tai-Forest-ebolavirus	-	nucleoprotein[Tai-Forest-ebolavirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00291	1028286	1029623	1338	Ebolavirus	Tai-Forest-ebolavirus	-	nucleoprotein[Tai-Forest-ebolavirus(-)]
Mus_castaneus	REL-1509-EiJ	CAST_EiJ.chromosomes.unplaced.gt2k.fa	chr9	74147062	74147358	297	Ebolavirus	Tai-Forest-ebolavirus	-	nucleoprotein[Tai-Forest-ebolavirus(-)]
Peromyscus_maniculatus_bairdii	1	230844_ref_Pman_1.0_chrUn.fa	gi|586829394|ref|NW_006501042.1|	7971797	7972318	522	Ebolavirus	Zaire-ebolavirus	+	nucleoprotein[Zaire-ebolavirus(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE378477	269062	269964	903	Ebolavirus	Zaire-ebolavirus	+	nucleoprotein[Zaire-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517880|ref|NW_003613669.1|	2285	3467	1183	Ebolavirus	Zaire-ebolavirus	+	nucleoprotein[Zaire-ebolavirus(+)]
Cricetulus_griseus	CHO-K1-v1	CHO-K1-v1.scaffolds.fasta	gi|351517787|ref|NW_003613762.1|	587367	592275	4909	Ebolavirus	Zaire-ebolavirus	+	nucleoprotein[Zaire-ebolavirus(+)]-L[Reston-ebolavirus(+)]-VP35[Zaire-ebolavirus(+)]
Cricetulus_griseus	goldenpath_criGri1	criGri1.fa	KE380005	611417	616512	5096	Ebolavirus	Zaire-ebolavirus	+	nucleoprotein[Zaire-ebolavirus(+)]-L[Reston-ebolavirus(+)]-VP35[Zaire-ebolavirus(+)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_31.fa	gi|472278191|gb|KB708402.1|	794288	794806	519	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]
Phodopus_sungorus	Psun0.5	GCA_001707965.1_Psun0.5_genomic.fna	MCBN011322457.1	1458	2352	895	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01067497.1	25343	25657	315	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]
Heterocephalus_glaber	goldenpath_hetGla2	hetGla2.fa_2.fa	JH602060	18507010	18507102	93	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01197867.1	1034	1591	558	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]
Phodopus_sungorus	Psun0.5	GCA_001707965.1_Psun0.5_genomic.fna	MCBN011458509.1	29	3223	3195	Ebolavirus	Zaire-ebolavirus	-	nucleoprotein[Zaire-ebolavirus(-)]-VP35[Sudan-ebolavirus(-)]
Poecilia_formosa	PoeFor_5.1.2	Poecilia_formosa.PoeFor_5.1.2.dna.toplevel.fa	KI520997.1	12672	12830	159	Ebolavirus	Reston-ebolavirus	+	structural-glycoprotein[Reston-ebolavirus(+)]
Poecilia_latipinna	v1.0	48699_ref_P_latipinna-1.0_chrUn.fa	gi|961433071|ref|NW_015117419.1|	388	609	222	Ebolavirus	Reston-ebolavirus	-	structural-glycoprotein[Reston-ebolavirus(-)]
Poecilia_formosa	PoeFor_5.1.2	Poecilia_formosa.PoeFor_5.1.2.dna.toplevel.fa	KI520782.1	489	710	222	Ebolavirus	Reston-ebolavirus	-	structural-glycoprotein[Reston-ebolavirus(-)]
Poecilia_latipinna	v1.0	48699_ref_P_latipinna-1.0_chrUn.fa	gi|961433852|ref|NW_015116638.1|	44320	44478	159	Ebolavirus	Reston-ebolavirus	-	structural-glycoprotein[Reston-ebolavirus(-)]
Ellobius_talpinus	ETalpinus_0.1	GCA_001685095.1_ETalpinus_0.1_genomic.fna	LOJH01000262.1	56833	57582	750	Ebolavirus	Bundibugyo-virus	+	VP35[Bundibugyo-virus(+)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01000552.1	49777	50490	714	Cuevavirus	Lloviu-cuevavirus	+	VP35[Lloviu-cuevavirus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chrLG3.fa	gi|428755098|gb|CM001692.1|	42768457	42768969	513	Cuevavirus	Lloviu-cuevavirus	+	VP35[Lloviu-cuevavirus(+)]
Microtus_agrestis	ASM130599v1	GCA_001305995.1_ASM130599v1_genomic.fna	LIQJ01001596.1	805240	805797	558	Cuevavirus	Lloviu-cuevavirus	-	VP35[Lloviu-cuevavirus(-)]
Phascolarctos_cinereus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00056	7968384	7968968	585	Marburgvirus	Marburg-marburgvirus	+	VP35[Marburg-marburgvirus(+)]
Macropus_eugenii	goldenpath_macEug2	macEug2.fa	GL141419	34187	34354	168	Marburgvirus	Marburg-marburgvirus	+	VP35[Marburg-marburgvirus(+)]
Microtus_ochrogaster	broad_1.0_april_2013	chr18.fa	gi|428755189|gb|CM001683.1|	58096795	58097052	258	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01098300.1	644	1165	522	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Neotoma_lepida	ASM167557v1	GCA_001675575.1_ASM167557v1_genomic.fna	LZPO01044410.1	414275	414550	276	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Ellobius_lutescens	ASM168507v1	GCA_001685075.1_ASM168507v1_genomic.fna	LOEQ01001575.1	140507	141160	654	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
Mesocricetus_auratus	broad_1.1_april_2013	Mesocricetus_unplaced.scaf.fa_3.fa	gi|472278461|gb|KB708132.1|	26305160	26305618	459	Unclassified	Myotis-endogenous-filo-like	+	VP35[Myotis-endogenous-filo-like(+)]
