sequenceID	assigned_gene	organism	scaffold	start	end	length	orientation	assigned_name	subject_start	subject_end	integration	duplicate
N_61_41_Macropus_eugenii	N	Macropus_eugenii	GL104510	3801	4076	276	negative	Marburg-marburgvirus	255	338	61	41
N_61_42_Macropus_eugenii	N	Macropus_eugenii	GL104510	6932	7204	273	negative	Bundibugyo-virus	164	254	61	42
N_61_43_Macropus_eugenii	N	Macropus_eugenii	GL112654	5672	6457	786	positive	Sudan-ebolavirus	136	392	61	43
N_61_44_Macropus_eugenii	N	Macropus_eugenii	GL116946	10911	11556	646	negative	Sudan-ebolavirus	261	385	61	44
N_61_45_Macropus_eugenii	N	Macropus_eugenii	GL124373	880	1789	910	negative	Bundibugyo-virus	60	233	61	45
N_61_46_Macropus_eugenii	N	Macropus_eugenii	GL128230	15666	15896	231	positive	Reston-ebolavirus	197	274	61	46
N_61_47_Macropus_eugenii	N	Macropus_eugenii	GL171431	6	907	902	negative	Sudan-ebolavirus	22	312	61	47
N_4_48_Mesocricetus_auratus	N	Mesocricetus_auratus	gi|472278191|gb|KB708402.1|	794288	794806	519	negative	Zaire-ebolavirus	220	413	4	48
N_4_49_Mesocricetus_auratus	N	Mesocricetus_auratus	gi|472278433|gb|KB708160.1|	13306618	13307431	814	positive	Lloviu-cuevavirus	21	187	4	49
N_4_50_Mesocricetus_auratus	N	Mesocricetus_auratus	gi|472278448|gb|KB708145.1|	16800563	16801516	954	positive	Tai-Forest-ebolavirus	272	398	4	50
N_4_51_Microtus_agrestis	N	Microtus_agrestis	LIQJ01000252.1	1385611	1386117	507	positive	Sudan-ebolavirus	131	253	4	51
N_4_52_Microtus_agrestis	N	Microtus_agrestis	LIQJ01000448.1	1682269	1682937	669	negative	Bundibugyo-virus	241	326	4	52
N_4_53_Microtus_agrestis	N	Microtus_agrestis	LIQJ01002379.1	687314	688098	785	positive	Bundibugyo-virus	280	380	4	53
N_4_54_Microtus_ochrogaster	N	Microtus_ochrogaster	gi|428755073|gb|CM001694.1|	22393838	22394065	228	positive	Sudan-ebolavirus	155	233	4	54
N_4_55_Microtus_ochrogaster	N	Microtus_ochrogaster	gi|428755189|gb|CM001683.1|	52306521	52307090	570	positive	Bundibugyo-virus	151	340	4	55
N_4_56_Microtus_ochrogaster	N	Microtus_ochrogaster	gi|428755264|gb|CM001675.1|	48412294	48413251	958	positive	Tai-Forest-ebolavirus	154	241	4	56
N_4_57_Microtus_ochrogaster	N	Microtus_ochrogaster	gi|428755270|gb|CM001673.1|	27471226	27471938	713	positive	Bundibugyo-virus	250	383	4	57
N_51_58_Monodelphis_domestica	N	Monodelphis_domestica	chr2	54444145	54444668	524	positive	Reston-ebolavirus	232	316	51	58
N_21_59_Murina_aurata	N	Murina_aurata_feae	PVJC01021378.1	15290	16027	738	negative	Lloviu-cuevavirus	57	307	21	59
N_21_60_Murina_aurata	N	Murina_aurata_feae	PVJC01036705.1	9090	9431	342	positive	Marburg-marburgvirus	227	337	21	60
N_21_61_Murina_aurata	N	Murina_aurata_feae	PVJC01085686.1	68	981	914	negative	Bundibugyo-virus	220	321	21	61
N_5_62_Mus_castaneus	N	Mus_castaneus	chr9	74147062	74147358	297	negative	Tai-Forest-ebolavirus	134	231	5	62
N_5_63_Mus_musculus	N	Mus_musculus	chr9	73977360	73977656	297	negative	Tai-Forest-ebolavirus	134	231	5	63
N_5_64_Mus_pahari	N	Mus_pahari	chr10	68765586	68765870	285	negative	Marburg-marburgvirus	60	152	5	64
N_5_65_Mus_spretus	N	Mus_spretus	CM004102.1	73746386	73746676	291	negative	Tai-Forest-ebolavirus	134	229	5	65
N_4_66_Myodes_glareolus	N	Myodes_glareolus	MULK01003177.1	5896	6759	864	positive	Bundibugyo-virus	142	299	4	66
N_4_67_Myodes_glareolus	N	Myodes_glareolus	MULK01017725.1	82083	82613	531	negative	Bundibugyo-virus	149	320	4	67
N_4_68_Myodes_glareolus	N	Myodes_glareolus	MULK01030018.1	295303	296184	882	positive	Tai-Forest-ebolavirus	160	432	4	68
N_21_69_Myotis_brandtii	N	Myotis_brandtii	gi|549486203|ref|NW_005370887.1|	73900	74436	537	negative	Marburg-marburgvirus	246	345	21	69
N_21_70_Myotis_brandtii	N	Myotis_brandtii	gi|549503425|ref|NW_005362797.1|	655538	656777	1240	negative	Sudan-ebolavirus	220	402	21	70
N_21_71_Myotis_brandtii	N	Myotis_brandtii	gi|549507056|ref|NW_005359196.1|	190201	190875	675	positive	Marburg-marburgvirus	187	411	21	71
N_21_72_Myotis_davidii	N	Myotis_davidii	gi|432095562|gb|KB110895.1|	268140	268877	738	negative	Bundibugyo-virus	155	363	21	72
N_21_73_Myotis_davidii	N	Myotis_davidii	gi|432095944|gb|KB110667.1|	572408	573355	948	negative	Sudan-ebolavirus	264	363	21	73
N_21_74_Myotis_davidii	N	Myotis_davidii	gi|432115810|gb|KB100900.1|	2645882	2646670	789	positive	Sudan-ebolavirus	146	407	21	74
N_21_75_Myotis_lucifugus	N	Myotis_lucifugus	GL429779	9623578	9624518	941	negative	Sudan-ebolavirus	264	363	21	75
N_21_76_Myotis_lucifugus	N	Myotis_lucifugus	GL429801	8786938	8787537	600	negative	Marburg-marburgvirus	211	418	21	76
N_21_77_Myotis_lucifugus	N	Myotis_lucifugus	GL430432	260875	261857	983	positive	Sudan-ebolavirus	233	381	21	77
N_41_78_Myrmecophaga_tridactyla	N	Myrmecophaga_tridactyla	PVIY010089203.1	3113	3520	408	positive	Marburg-marburgvirus	165	308	41	78
N_9_79_Nannospalax_galili	N	Nannospalax_galili	gi|671652576|ref|NW_008357791.1|	2883	3569	687	positive	Lloviu-cuevavirus	182	407	9	79
N_9_80_Nannospalax_galili	N	Nannospalax_galili	gi|671661799|ref|NW_008348568.1|	1002820	1003155	336	positive	Lloviu-cuevavirus	159	275	9	80
N_9_81_Nannospalax_galili	N	Nannospalax_galili	gi|671664246|ref|NW_008346121.1|	1	327	327	positive	Marburg-marburgvirus	280	359	9	81
N_9_82_Nannospalax_galili	N	Nannospalax_galili	gi|671671484|ref|NW_008338883.1|	1918853	1919254	402	positive	Sudan-ebolavirus	274	379	9	82
N_9_83_Nannospalax_galili	N	Nannospalax_galili	gi|671679242|ref|NW_008331125.1|	3581621	3582877	1257	positive	Reston-ebolavirus	37	452	9	83
N_10_84_Neotoma_lepida	N	Neotoma_lepida	LZPO01008779.1	28674	28994	321	negative	Bundibugyo-virus	121	228	10	84
N_10_85_Neotoma_lepida	N	Neotoma_lepida	LZPO01028967.1	8521	9497	977	negative	Sudan-ebolavirus	147	285	10	85
N_10_86_Neotoma_lepida	N	Neotoma_lepida	LZPO01045091.1	41784	42080	297	positive	Sudan-ebolavirus	147	248	10	86
N_10_87_Neotoma_lepida	N	Neotoma_lepida	LZPO01067497.1	25343	25657	315	negative	Zaire-ebolavirus	175	276	10	87
N_10_88_Neotoma_lepida	N	Neotoma_lepida	LZPO01096522.1	689346	690600	1255	positive	Sudan-ebolavirus	36	238	10	88
N_4_89_Ondatra_zibethicus	N	Ondatra_zibethicus	PVIU01003686.1	44870	45845	976	positive	Zaire-ebolavirus	150	350	4	89
N_4_90_Ondatra_zibethicus	N	Ondatra_zibethicus	PVIU01004168.1	102592	103571	980	positive	Zaire-ebolavirus	197	387	4	90
N_4_91_Ondatra_zibethicus	N	Ondatra_zibethicus	PVIU01020378.1	21069	22045	977	negative	Bundibugyo-virus	142	320	4	91
N_4_92_Onychomys_torridus	N	Onychomys_torridus	PVIT010005287.1	47624	48565	942	negative	Marburg-marburgvirus	244	325	4	92
N_4_93_Onychomys_torridus	N	Onychomys_torridus	PVIT010007961.1	18152	19007	856	negative	Bundibugyo-virus	81	267	4	93
N_4_94_Onychomys_torridus	N	Onychomys_torridus	PVIT010026828.1	1876	2412	537	positive	Reston-ebolavirus	147	334	4	94
N_4_95_Onychomys_torridus	N	Onychomys_torridus	PVIT010050105.1	2601	3700	1100	positive	Tai-Forest-ebolavirus	295	406	4	95
N_4_96_Peromyscus_maniculatus	N	Peromyscus_maniculatus_bairdii	gi|586828672|ref|NW_006501764.1|	452686	453671	986	positive	Bundibugyo-virus	201	362	4	96
N_4_97_Peromyscus_maniculatus	N	Peromyscus_maniculatus_bairdii	gi|586829284|ref|NW_006501152.1|	4585405	4585941	537	negative	Sudan-ebolavirus	147	334	4	97
N_4_98_Peromyscus_maniculatus	N	Peromyscus_maniculatus_bairdii	gi|586829367|ref|NW_006501069.1|	4192105	4192641	537	positive	Tai-Forest-ebolavirus	56	234	4	98
N_4_99_Peromyscus_maniculatus	N	Peromyscus_maniculatus_bairdii	gi|586829387|ref|NW_006501049.1|	8889128	8889783	656	positive	Reston-ebolavirus	234	365	4	99
N_4_100_Peromyscus_maniculatus	N	Peromyscus_maniculatus_bairdii	gi|586829394|ref|NW_006501042.1|	7971797	7972318	522	positive	Zaire-ebolavirus	188	304	4	100
N_4_101_Peromyscus_polionotus	N	Peromyscus_polionotus_subgriseus	CM010904.1	65129156	65129680	525	negative	Sudan-ebolavirus	155	334	4	101
N_4_102_Peromyscus_polionotus	N	Peromyscus_polionotus_subgriseus	CM010909.1	56058302	56058685	384	negative	Zaire-ebolavirus	234	361	4	102
N_4_103_Peromyscus_polionotus	N	Peromyscus_polionotus_subgriseus	CM010909.1	75730290	75730826	537	negative	Tai-Forest-ebolavirus	56	234	4	103
N_4_104_Peromyscus_polionotus	N	Peromyscus_polionotus_subgriseus	CM010920.1	12680367	12681353	987	positive	Bundibugyo-virus	36	362	4	104
N_4_105_Peromyscus_polionotus	N	Peromyscus_polionotus_subgriseus	CM010925.1	11751089	11751734	646	negative	Zaire-ebolavirus	143	350	4	105
N_61_106_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00002	31897474	31898607	1134	negative	Bundibugyo-virus	22	363	61	106
N_61_107_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00005	32968340	32969256	917	negative	Marburg-marburgvirus	64	295	61	107
N_61_108_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00043	10976892	10977996	1105	negative	Sudan-ebolavirus	22	331	61	108
N_61_109_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00053	1846740	1847845	1106	positive	Sudan-ebolavirus	22	220	61	109
N_61_110_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00063	2637669	2638623	955	negative	Reston-ebolavirus	188	331	61	110
N_61_111_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00180	2022528	2023201	674	negative	Bundibugyo-virus	261	390	61	111
N_61_112_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00247	3533521	3534411	891	positive	Lloviu-cuevavirus	204	317	61	112
N_61_113_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00268	1453656	1454915	1260	positive	Sudan-ebolavirus	27	266	61	113
N_61_114_Phascolarctos_cinereus	N	Phascolarctos_cinereus	phaCin_unsw_v4.1.fa.scaf00291	1028286	1029623	1338	negative	Tai-Forest-ebolavirus	159	297	61	114
N_4_115_Phodopus_sungorus	N	Phodopus_sungorus	MCBN011322457.1	1458	2352	895	negative	Zaire-ebolavirus	248	413	4	115
N_4_116_Phodopus_sungorus	N	Phodopus_sungorus	MCBN011377448.1	2126	3158	1033	negative	Tai-Forest-ebolavirus	170	398	4	116
N_4_117_Phodopus_sungorus	N	Phodopus_sungorus	MCBN011458509.1	2291	3223	933	negative	Zaire-ebolavirus	117	413	4	117
N_21_118_Pipistrellus_pipistrellus	N	Pipistrellus_pipistrellus	PVIQ01006209.1	56826	57143	318	positive	Reston-ebolavirus	231	331	21	118
N_9_119_Rhizomys_pruinosus	N	Rhizomys_pruinosus	PVIM010120482.1	1829	2968	1140	positive	Reston-ebolavirus	39	390	9	119
N_9_120_Rhizomys_pruinosus	N	Rhizomys_pruinosus	PVIM010143654.1	2974	3519	546	positive	Sudan-ebolavirus	208	390	9	120
N_4_121_Sigmodon_hispidus	N	Sigmodon_hispidus	PVIH01004093.1	141291	141575	285	positive	Zaire-ebolavirus	200	293	4	121
N_4_122_Sigmodon_hispidus	N	Sigmodon_hispidus	PVIH01004934.1	86023	86772	750	positive	Bundibugyo-virus	151	409	4	122
N_4_123_Sigmodon_hispidus	N	Sigmodon_hispidus	PVIH01010838.1	47806	48357	552	positive	Zaire-ebolavirus	173	363	4	123
N_4_124_Sigmodon_hispidus	N	Sigmodon_hispidus	PVIH01028646.1	8207	8398	192	negative	Zaire-ebolavirus	279	342	4	124
N_31_125_Sorex_araneus	N	Sorex_araneus	JH798184	713199	713969	771	negative	Bundibugyo-virus	53	318	31	125
N_31_126_Sorex_araneus	N	Sorex_araneus	JH798212	4431668	4432201	534	positive	Bundibugyo-virus	188	326	31	126
N_41_127_Tamandua_tetradactyla	N	Tamandua_tetradactyla	PVIF010042287.1	5726	6188	463	positive	Bundibugyo-virus	253	344	41	127
N_61_128_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01007612.1	2125873	2126636	764	negative	Sudan-ebolavirus	230	400	61	128
N_61_129_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01010219.1	9641086	9641686	601	positive	Marburg-marburgvirus	126	282	61	129
N_61_130_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01011014.1	19406019	19406315	297	positive	Reston-ebolavirus	292	390	61	130
N_61_131_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01011369.1	7354486	7355083	598	positive	Lloviu-cuevavirus	148	233	61	131
N_61_132_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01014768.1	5640946	5641413	468	positive	Reston-ebolavirus	159	316	61	132
N_61_133_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01014768.1	36860027	36860584	558	positive	Marburg-marburgvirus	126	308	61	133
N_61_134_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01014779.1	24491091	24491405	315	negative	Zaire-ebolavirus	248	351	61	134
N_61_135_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01014818.1	19838625	19838930	306	negative	Lloviu-cuevavirus	149	248	61	135
N_61_136_Vombatus_ursinus	N	Vombatus_ursinus	UNPS01014847.1	4446293	4446967	675	positive	Tai-Forest-ebolavirus	164	400	61	136
N_8_137_Zapus_hudsonius	N	Zapus_hudsonius	PVHP010005616.1	63342	63914	573	negative	Bundibugyo-virus	136	341	8	137
VP30_1_1_Cricetulus_griseus	VP30	Cricetulus_griseus	gi|351505094|ref|NW_003626450.1|	521	1102	582	positive	Zaire-ebolavirus	47	230	1	1
VP30_1_3_Ellobius_talpinus	VP30	Ellobius_talpinus	LOJH01139440.1	2286	2489	204	positive	Marburg-marburgvirus	193	260	1	3
VP30_1_4_Microtus_agrestis	VP30	Microtus_agrestis	LIQJ01001405.1	1235078	1235347	270	negative	Marburg-marburgvirus	171	257	1	4
VP30_1_5_Microtus_agrestis	VP30	Microtus_agrestis	LIQJ01229694.1	581	1138	558	positive	Marburg-marburgvirus	71	261	1	5
VP30_1_6_Microtus_ochrogaster	VP30	Microtus_ochrogaster	gi|428755099|gb|CM001691.1|	46004640	46004930	291	negative	Marburg-marburgvirus	171	267	1	6
VP30_1_7_Myodes_glareolus	VP30	Myodes_glareolus	MULK01007084.1	16757	16963	207	negative	Reston-ebolavirus	171	239	1	7
VP30_1_8_Onychomys_torridus	VP30	Onychomys_torridus	PVIT010023181.1	5977	6669	693	negative	Marburg-marburgvirus	71	271	1	8
VP35_3_1_Acomys_cahirinus	VP35	Acomys_cahirinus	PVKX01001220.1	80182	81153	972	positive	Bundibugyo-virus	14	341	3	1
VP35_3_2_Apodemus_speciosus	VP35	Apodemus_speciosus	BDUI01006025.1	49277	49906	630	negative	Myotis-endogenous-filo-like	12	251	3	2
VP35_3_3_Apodemus_speciosus	VP35	Apodemus_speciosus	BDUI01242461.1	568	1134	567	positive	Myotis-endogenous-filo-like	78	273	3	3
VP35_3_4_Apodemus_sylvaticus	VP35	Apodemus_sylvaticus	LIPJ01010341.1	244950	245162	213	negative	Myotis-endogenous-filo-like	193	263	3	4
VP35_1_5_Chinchilla_lanigera	VP35	Chinchilla_lanigera	scaffold00028	23779547	23779822	276	positive	Myotis-endogenous-filo-like	56	147	1	5
VP35_2_6_Cricetulus_griseus	VP35	Cricetulus_griseus	gi|351517430|ref|NW_003614119.1|	1055297	1055656	360	positive	Zaire-ebolavirus	217	340	2	6
VP35_2_7_Cricetulus_griseus	VP35	Cricetulus_griseus	gi|351517557|ref|NW_003613992.1|	207661	208185	525	negative	Myotis-endogenous-filo-like	101	274	2	7
VP35_2_8_Cricetulus_griseus	VP35	Cricetulus_griseus	gi|351517668|ref|NW_003613881.1|	1644928	1645275	348	positive	Sudan-ebolavirus	219	329	2	8
VP35_2_9_Cricetulus_griseus	VP35	Cricetulus_griseus	gi|351517787|ref|NW_003613762.1|	590656	592275	1620	positive	Zaire-ebolavirus	227	340	2	9
VP35_2_16_Ellobius_lutescens	VP35	Ellobius_lutescens	LOEQ01000552.1	49777	50490	714	positive	Lloviu-cuevavirus	142	301	2	16
VP35_2_17_Ellobius_lutescens	VP35	Ellobius_lutescens	LOEQ01001575.1	140507	141160	654	positive	Myotis-endogenous-filo-like	37	240	2	17
VP35_2_18_Ellobius_lutescens	VP35	Ellobius_lutescens	LOEQ01002118.1	223190	223534	345	negative	Myotis-endogenous-filo-like	30	146	2	18
VP35_2_19_Ellobius_lutescens	VP35	Ellobius_lutescens	LOEQ01003066.1	329427	330008	582	positive	Myotis-endogenous-filo-like	60	262	2	19
VP35_2_20_Ellobius_talpinus	VP35	Ellobius_talpinus	LOJH01000262.1	56833	57582	750	positive	Bundibugyo-virus	83	341	2	20
VP35_2_21_Ellobius_talpinus	VP35	Ellobius_talpinus	LOJH01008750.1	23362	23658	297	negative	Myotis-endogenous-filo-like	30	127	2	21
VP35_2_22_Ellobius_talpinus	VP35	Ellobius_talpinus	LOJH01035398.1	14065	14250	186	negative	Myotis-endogenous-filo-like	213	274	2	22
VP35_2_23_Ellobius_talpinus	VP35	Ellobius_talpinus	LOJH01065323.1	5792	6373	582	negative	Myotis-endogenous-filo-like	60	262	2	23
VP35_7_24_Macropus_eugenii	VP35	Macropus_eugenii	GL141419	34187	34354	168	positive	Marburg-marburgvirus	113	165	7	24
VP35_3_25_Meriones_unguiculatus	VP35	Meriones_unguiculatus	NHTI01000044.1	1976642	1977145	504	positive	Myotis-endogenous-filo-like	95	274	3	25
VP35_3_26_Meriones_unguiculatus	VP35	Meriones_unguiculatus	NHTI01001967.1	66017	66565	549	positive	Myotis-endogenous-filo-like	158	274	3	26
VP35_2_27_Mesocricetus_auratus	VP35	Mesocricetus_auratus	gi|472278324|gb|KB708269.1|	779626	780024	399	negative	Myotis-endogenous-filo-like	140	274	2	27
VP35_2_28_Mesocricetus_auratus	VP35	Mesocricetus_auratus	gi|472278418|gb|KB708175.1|	260388	261065	678	negative	Myotis-endogenous-filo-like	31	260	2	28
VP35_2_29_Mesocricetus_auratus	VP35	Mesocricetus_auratus	gi|472278461|gb|KB708132.1|	26305160	26305618	459	positive	Myotis-endogenous-filo-like	56	212	2	29
VP35_2_30_Microtus_agrestis	VP35	Microtus_agrestis	LIQJ01000303.1	1575407	1576021	615	negative	Myotis-endogenous-filo-like	50	240	2	30
VP35_2_31_Microtus_agrestis	VP35	Microtus_agrestis	LIQJ01001281.1	1681851	1682063	213	negative	Myotis-endogenous-filo-like	44	114	2	31
VP35_2_32_Microtus_agrestis	VP35	Microtus_agrestis	LIQJ01001596.1	805240	805797	558	negative	Lloviu-cuevavirus	142	320	2	32
VP35_2_33_Microtus_ochrogaster	VP35	Microtus_ochrogaster	gi|428755073|gb|CM001694.1|	22396005	22396340	336	positive	Myotis-endogenous-filo-like	60	180	2	33
VP35_2_34_Microtus_ochrogaster	VP35	Microtus_ochrogaster	gi|428755089|gb|CM001693.1|	55328711	55329325	615	negative	Myotis-endogenous-filo-like	50	240	2	34
VP35_2_35_Microtus_ochrogaster	VP35	Microtus_ochrogaster	gi|428755098|gb|CM001692.1|	42768457	42768969	513	positive	Lloviu-cuevavirus	142	320	2	35
VP35_2_36_Microtus_ochrogaster	VP35	Microtus_ochrogaster	gi|428755171|gb|CM001684.1|	37672558	37673241	684	negative	Myotis-endogenous-filo-like	37	272	2	36
VP35_2_37_Microtus_ochrogaster	VP35	Microtus_ochrogaster	gi|428755189|gb|CM001683.1|	58096795	58097052	258	positive	Myotis-endogenous-filo-like	30	114	2	37
VP35_6_38_Murina_aurata	VP35	Murina_aurata_feae	PVJC01004914.1	43214	43747	534	positive	Myotis-endogenous-filo-like	97	274	6	38
VP35_3_39_Mus_castaneus	VP35	Mus_castaneus	chr4	19052705	19053115	411	positive	Myotis-endogenous-filo-like	92	265	3	39
VP35_3_40_Mus_musculus	VP35	Mus_musculus	chr4	22129194	22129415	222	positive	Myotis-endogenous-filo-like	193	265	3	40
VP35_3_41_Mus_pahari	VP35	Mus_pahari	chr21	8225159	8225611	453	negative	Myotis-endogenous-filo-like	105	273	3	41
VP35_3_42_Mus_spretus	VP35	Mus_spretus	CM004097.1	18883651	18884061	411	positive	Myotis-endogenous-filo-like	92	265	3	42
VP35_2_43_Myodes_glareolus	VP35	Myodes_glareolus	MULK01031382.1	1958791	1959105	315	negative	Zaire-ebolavirus	237	339	2	43
VP35_6_44_Myotis_brandtii	VP35	Myotis_brandtii	gi|549512482|ref|NW_005353770.1|	1569601	1570413	813	positive	Myotis-endogenous-filo-like	1	274	6	44
VP35_6_45_Myotis_davidii	VP35	Myotis_davidii	gi|432114647|gb|KB101591.1|	4685275	4686057	783	positive	Myotis-endogenous-filo-like	1	274	6	45
VP35_6_46_Myotis_lucifugus	VP35	Myotis_lucifugus	GL429767	12238305	12239117	813	positive	Myotis-endogenous-filo-like	1	274	6	46
VP35_2_47_Neotoma_lepida	VP35	Neotoma_lepida	LZPO01044410.1	414275	414550	276	positive	Myotis-endogenous-filo-like	183	274	2	47
VP35_2_48_Neotoma_lepida	VP35	Neotoma_lepida	LZPO01098300.1	644	1165	522	positive	Myotis-endogenous-filo-like	43	217	2	48
VP35_2_49_Ondatra_zibethicus	VP35	Ondatra_zibethicus	PVIU01006931.1	87861	88226	366	positive	Zaire-ebolavirus	200	327	2	49
VP35_2_50_Peromyscus_maniculatus	VP35	Peromyscus_maniculatus_bairdii	gi|586828128|ref|NW_006502308.1|	313542	313781	240	positive	Myotis-endogenous-filo-like	195	274	2	50
